size,block_size,seed,cmc_estimate,ginibre_estimate
2500,2,243856,3.1344,2.4816
2500,2500,136515,3.1696,3.144
2500,50,136515,3.1936,3.0384
2500,2,136515,3.1376,2.4944
2500,2500,556931,3.1984,3.1472
2500,50,556931,3.1056,3.0976
2500,2,556931,3.1264,2.416
2500,2500,933295,3.1808,3.1344
2500,50,933295,3.176,3.0608
2500,2,933295,3.1936,2.4656
2500,2500,175,3.1376,3.1344
2500,50,175,3.1392,3.0608
2500,2,175,3.184,2.5152
2500,2500,626904,3.0752,3.1408
2500,50,626904,3.1216,3.04
2500,2,626904,3.1152,2.4496
2500,2500,873591,3.088,3.1328
2500,50,873591,3.1808,3.0704
2500,2,873591,3.1792,2.4288
2500,2500,147027,3.1936,3.1408
2500,50,147027,3.104,3.048
2500,2,147027,3.1344,2.464
2500,2500,11008,3.1296,3.1536
2500,50,11008,3.1344,3.0736
2500,2,11008,3.1072,2.4128
2500,2500,682729,3.1968,3.1312
2500,50,682729,3.1808,3.0352
2500,2,682729,3.1184,2.36
2500,2500,416310,3.1136,3.1296
2500,50,416310,3.1328,3.0864
2500,2,416310,3.1088,2.4864
2500,2500,792238,3.1072,3.136
2500,50,792238,3.1536,3.0816
2500,2,792238,3.1904,2.4336
2500,2500,281560,3.1632,3.1376
2500,50,281560,3.128,3.0816
2500,2,281560,3.1904,2.4368
2500,2500,179305,3.1648,3.144
2500,50,179305,3.1456,3.0528
2500,2,179305,3.2064,2.4384
2500,2500,162346,3.1776,3.1344
2500,50,162346,3.128,3.0592
2500,2,162346,3.112,2.528
2500,2500,297252,3.16,3.1344
2500,50,297252,3.176,3.064
2500,2,297252,3.0592,2.4608
2500,2500,906749,3.152,3.1296
2500,50,906749,3.1104,3.04
2500,2,906749,3.1888,2.4416
2500,2500,207807,3.1584,3.1488
2500,50,207807,3.1584,3.0816
2500,2,207807,3.1264,2.384
2500,2500,932485,3.176,3.1344
2500,50,932485,3.1136,3.064
2500,2,932485,3.1936,2.456
2500,2500,826075,3.1216,3.144
2500,50,826075,3.2192,3.0736
2500,2,826075,3.1536,2.3952
2500,2500,78613,3.2176,3.1296
2500,50,78613,3.1584,3.008
2500,2,78613,3.1248,2.4528
2500,2500,303338,3.1856,3.1376
2500,50,303338,3.1808,3.0768
2500,2,303338,3.1344,2.4832
2500,2500,626774,3.2016,3.136
2500,50,626774,3.192,3.056
2500,2,626774,3.1504,2.4752
2500,2500,641074,3.1248,3.1392
2500,50,641074,3.1776,3.0672
2500,2,641074,3.1856,2.4672
2500,2500,818085,3.1312,3.1472
2500,50,818085,3.1472,3.0432
2500,2,818085,3.2176,2.4336
2500,2500,236277,3.1952,3.136
2500,50,236277,3.096,3.0272
2500,2,236277,3.1408,2.4176
2500,2500,136161,3.208,3.152
2500,50,136161,3.1456,3.0352
2500,2,136161,3.176,2.4592
2500,2500,347723,3.112,3.1344
2500,50,347723,3.1728,3.0176
2500,2,347723,3.104,2.464
2500,2500,223662,3.2144,3.136
2500,50,223662,3.096,3.0928
2500,2,223662,3.1824,2.4688
2500,2500,681664,3.1904,3.1472
2500,50,681664,3.1568,3.0432
2500,2,681664,3.112,2.4816
2500,2500,673772,3.1344,3.1184
2500,50,673772,3.0656,3.0464
2500,2,673772,3.1872,2.48
2500,2500,937346,3.1264,3.1328
2500,50,937346,3.0832,3.048
2500,2,937346,3.1488,2.5264
2500,2500,525115,3.1264,3.1392
2500,50,525115,3.1008,3.0768
2500,2,525115,3.1568,2.4288
2500,2500,573654,3.1376,3.1312
2500,50,573654,3.1376,3.0512
2500,2,573654,3.1264,2.5008
2500,2500,465805,3.1792,3.1328
2500,50,465805,3.1872,3.0624
2500,2,465805,3.1648,2.5248
2500,2500,483025,3.1904,3.1392
2500,50,483025,3.1872,3.0752
2500,2,483025,3.104,2.4912
2500,2500,249134,3.1184,3.128
2500,50,249134,3.1376,3.048
2500,2,249134,3.2032,2.4496
2500,2500,715703,3.1264,3.144
2500,50,715703,3.176,3.08
2500,2,715703,3.1344,2.4224
2500,2500,582434,3.1744,3.144
2500,50,582434,3.1312,3.0496
2500,2,582434,3.112,2.4736
2500,2500,565092,3.1152,3.136
2500,50,565092,3.176,3.0464
2500,2,565092,3.0864,2.4656
2500,2500,767275,3.1232,3.1424
2500,50,767275,3.1488,3.0704
2500,2,767275,3.1776,2.376
2500,2500,353986,3.1168,3.1328
2500,50,353986,3.144,3.088
2500,2,353986,3.1152,2.4576
2500,2500,817109,3.1808,3.1392
2500,50,817109,3.1392,3.0608
2500,2,817109,3.1424,2.4592
2500,2500,321410,3.144,3.1184
2500,50,321410,3.1168,3.072
2500,2,321410,3.1344,2.4784
2500,2500,2722,3.1264,3.1312
2500,50,2722,3.1072,3.0576
2500,2,2722,3.1504,2.48
2500,2500,638677,3.104,3.1408
2500,50,638677,3.1056,3.0656
2500,2,638677,3.1152,2.456
2500,2500,974125,3.1248,3.1424
2500,50,974125,3.12,3.0528
2500,2,974125,3.1984,2.4224
2500,2500,727077,3.064,3.1424
2500,50,727077,3.1216,3.0624
2500,2,727077,3.1296,2.432
2500,2500,142217,3.1744,3.1264
2500,50,142217,3.0768,3.0688
2500,2,142217,3.1296,2.4608
2500,2500,815412,3.1632,3.1296
2500,50,815412,3.1136,3.0384
2500,2,815412,3.1456,2.4304
2500,2500,718175,3.1952,3.1344
2500,50,718175,3.1216,3.0448
2500,2,718175,3.1152,2.4528
2500,2500,247980,3.1472,3.1328
2500,50,247980,3.1504,3.0304
2500,2,247980,3.1696,2.4224
