size,block_size,seed,cmc_estimate,ginibre_estimate
4900,4900,540650,3.170612244897959,3.140408163265306
4900,70,540650,3.119183673469388,3.0979591836734692
4900,2,540650,3.125714285714286,2.495510204081633
4900,4900,131330,3.163265306122449,3.1395918367346938
4900,70,131330,3.1355102040816325,3.0587755102040814
4900,2,131330,3.1240816326530614,2.4718367346938774
4900,4900,975147,3.1420408163265305,3.1322448979591835
4900,70,975147,3.1240816326530614,3.089795918367347
4900,2,975147,3.1297959183673467,2.483265306122449
4900,4900,232716,3.1812244897959183,3.140408163265306
4900,70,232716,3.1379591836734693,3.089795918367347
4900,2,232716,3.1208163265306124,2.5028571428571427
4900,4900,110033,3.1281632653061227,3.1330612244897957
4900,70,110033,3.1395918367346938,3.08
4900,2,110033,3.153469387755102,2.404081632653061
4900,4900,248833,3.170612244897959,3.133877551020408
4900,70,248833,3.1583673469387756,3.0628571428571427
4900,2,248833,3.1183673469387756,2.4359183673469387
4900,4900,940472,3.116734693877551,3.1273469387755104
4900,70,940472,3.1281632653061227,3.0848979591836736
4900,2,940472,3.1379591836734693,2.4514285714285715
4900,4900,238110,3.179591836734694,3.1420408163265305
4900,70,238110,3.1355102040816325,3.0775510204081633
4900,2,238110,3.140408163265306,2.440816326530612
4900,4900,393904,3.153469387755102,3.137142857142857
4900,70,393904,3.1175510204081633,3.0644897959183672
4900,2,393904,3.142857142857143,2.4661224489795917
4900,4900,463460,3.12,3.1363265306122448
4900,70,463460,3.110204081632653,3.0653061224489795
4900,2,463460,3.1077551020408163,2.4424489795918367
4900,4900,238670,3.1273469387755104,3.1379591836734693
4900,70,238670,3.1583673469387756,3.092244897959184
4900,2,238670,3.1363265306122448,2.4416326530612245
4900,4900,58007,3.140408163265306,3.143673469387755
4900,70,58007,3.146938775510204,3.079183673469388
4900,2,58007,3.1518367346938776,2.4604081632653063
4900,4900,87152,3.0808163265306123,3.126530612244898
4900,70,87152,3.08,3.09469387755102
4900,2,87152,3.106938775510204,2.4514285714285715
4900,4900,182000,3.123265306122449,3.1412244897959183
4900,70,182000,3.1575510204081634,3.0930612244897957
4900,2,182000,3.133877551020408,2.458775510204082
4900,4900,841057,3.130612244897959,3.1420408163265305
4900,70,841057,3.1281632653061227,3.066938775510204
4900,2,841057,3.146938775510204,2.4906122448979593
4900,4900,550004,3.137142857142857,3.1281632653061227
4900,70,550004,3.1028571428571428,3.0685714285714285
4900,2,550004,3.1518367346938776,2.443265306122449
4900,4900,335407,3.156734693877551,3.1346938775510202
4900,70,335407,3.1420408163265305,3.052244897959184
4900,2,335407,3.1085714285714285,2.4155102040816328
4900,4900,647329,3.1853061224489796,3.1485714285714286
4900,70,647329,3.07265306122449,3.0693877551020408
4900,2,647329,3.1583673469387756,2.4546938775510205
4900,4900,646096,3.1346938775510202,3.126530612244898
4900,70,646096,3.1281632653061227,3.093877551020408
4900,2,646096,3.165714285714286,2.4473469387755102
4900,4900,541682,3.1453061224489796,3.1420408163265305
4900,70,541682,3.1314285714285712,3.085714285714286
4900,2,541682,3.1812244897959183,2.486530612244898
4900,4900,996733,3.125714285714286,3.140408163265306
4900,70,996733,3.1395918367346938,3.0677551020408163
4900,2,996733,3.137142857142857,2.409795918367347
4900,4900,812203,3.130612244897959,3.130612244897959
4900,70,812203,3.123265306122449,3.0906122448979594
4900,2,812203,3.1175510204081633,2.474285714285714
4900,4900,898054,3.130612244897959,3.1379591836734693
4900,70,898054,3.1216326530612246,3.0783673469387756
4900,2,898054,3.156734693877551,2.443265306122449
4900,4900,628653,3.143673469387755,3.137142857142857
4900,70,628653,3.137142857142857,3.0685714285714285
4900,2,628653,3.0995918367346937,2.444081632653061
4900,4900,857661,3.1477551020408163,3.133877551020408
4900,70,857661,3.163265306122449,3.0881632653061226
4900,2,857661,3.1297959183673467,2.458775510204082
4900,4900,794852,3.156734693877551,3.137142857142857
4900,70,794852,3.142857142857143,3.082448979591837
4900,2,794852,3.170612244897959,2.4579591836734695
4900,4900,911007,3.1640816326530614,3.1355102040816325
4900,70,911007,3.1142857142857143,3.093877551020408
4900,2,911007,3.155918367346939,2.4522448979591838
4900,4900,347261,3.1444897959183673,3.1379591836734693
4900,70,347261,3.1355102040816325,3.049795918367347
4900,2,347261,3.1216326530612246,2.471020408163265
4900,4900,597235,3.1363265306122448,3.143673469387755
4900,70,597235,3.1379591836734693,3.070204081632653
4900,2,597235,3.1387755102040815,2.431020408163265
4900,4900,22255,3.142857142857143,3.1346938775510202
4900,70,22255,3.1330612244897957,3.07265306122449
4900,2,22255,3.1820408163265306,2.4155102040816328
4900,4900,557779,3.165714285714286,3.128979591836735
4900,70,557779,3.1379591836734693,3.076734693877551
4900,2,557779,3.1412244897959183,2.430204081632653
4900,4900,869160,3.116734693877551,3.1387755102040815
4900,70,869160,3.146122448979592,3.057142857142857
4900,2,869160,3.1722448979591835,2.4359183673469387
4900,4900,345921,3.128979591836735,3.1444897959183673
4900,70,345921,3.1640816326530614,3.1012244897959182
4900,2,345921,3.1363265306122448,2.4318367346938774
4900,4900,31930,3.146938775510204,3.1387755102040815
4900,70,31930,3.143673469387755,3.053061224489796
4900,2,31930,3.1583673469387756,2.455510204081633
4900,4900,261244,3.116734693877551,3.1363265306122448
4900,70,261244,3.1314285714285712,3.0881632653061226
4900,2,261244,3.1877551020408164,2.463673469387755
4900,4900,372719,3.1779591836734693,3.1330612244897957
4900,70,372719,3.16734693877551,3.0563265306122447
4900,2,372719,3.1640816326530614,2.4285714285714284
4900,4900,712709,3.1322448979591835,3.140408163265306
4900,70,712709,3.1297959183673467,3.0775510204081633
4900,2,712709,3.1240816326530614,2.4481632653061225
4900,4900,338328,3.1379591836734693,3.1379591836734693
4900,70,338328,3.142857142857143,3.1020408163265305
4900,2,338328,3.165714285714286,2.422040816326531
